,auc_train,auc_valid,leaf_cnt,loss_train,loss_valid
0,0.710821,0.710206,16,0.679473,0.679516
1,0.716688,0.716091,16,0.668043,0.66812
2,0.720155,0.719602,16,0.658702,0.6588
3,0.723881,0.723321,16,0.650484,0.650608
4,0.727377,0.726775,16,0.643167,0.643324
5,0.730435,0.729819,16,0.637364,0.637535
6,0.735436,0.734833,16,0.63246,0.632658
7,0.738382,0.737749,16,0.627195,0.627411
8,0.740335,0.739735,16,0.622771,0.622999
9,0.744264,0.743628,16,0.619072,0.619319
10,0.745889,0.745212,16,0.615057,0.615334
11,0.750249,0.749561,16,0.61079,0.611075
12,0.753749,0.753081,16,0.60738,0.607662
13,0.755326,0.754658,16,0.604924,0.605216
14,0.757892,0.757185,16,0.601492,0.601809
15,0.76065,0.759957,16,0.598921,0.599233
16,0.761709,0.761027,16,0.596707,0.597025
17,0.763523,0.762854,16,0.593758,0.594084
18,0.765471,0.764807,16,0.591923,0.592256
19,0.767437,0.766787,16,0.589747,0.590077
20,0.769118,0.768463,16,0.58761,0.587955
21,0.770122,0.76947,16,0.586087,0.586438
22,0.771436,0.770792,16,0.584374,0.584722
23,0.772581,0.771938,16,0.583069,0.583418
24,0.773639,0.772973,16,0.581347,0.581716
25,0.774755,0.774077,16,0.579751,0.580136
26,0.775926,0.775221,16,0.578304,0.578713
27,0.776691,0.775981,16,0.577308,0.577721
28,0.777512,0.776797,16,0.576012,0.576438
29,0.778314,0.777596,16,0.574813,0.575247
30,0.778823,0.778104,16,0.573736,0.574177
31,0.779639,0.778914,16,0.572774,0.573223
32,0.780398,0.779676,16,0.571821,0.572273
33,0.78112,0.780378,16,0.570998,0.571463
34,0.781683,0.780933,14,0.570231,0.570706
35,0.782322,0.781556,16,0.569402,0.56989
36,0.783083,0.782308,16,0.568431,0.568928
37,0.783708,0.782933,16,0.5674,0.567901
38,0.784276,0.783515,16,0.566587,0.567083
39,0.784761,0.783985,16,0.565949,0.566459
40,0.785217,0.784434,16,0.565176,0.565692
41,0.785747,0.784963,16,0.56444,0.564965
42,0.786227,0.785426,16,0.563797,0.564334
43,0.786607,0.785797,16,0.563237,0.563784
44,0.786779,0.785975,13,0.562701,0.56325
45,0.78698,0.786172,14,0.562148,0.562703
46,0.787301,0.786489,16,0.561402,0.561964
47,0.787559,0.786751,16,0.560948,0.561508
48,0.787875,0.787057,16,0.560451,0.561021
49,0.788086,0.787258,16,0.559911,0.560493
50,0.788487,0.787667,15,0.55944,0.560019
51,0.788798,0.787968,16,0.558873,0.559464
52,0.789168,0.788329,16,0.558448,0.559047
53,0.789374,0.788536,16,0.557969,0.558569
54,0.789575,0.788736,13,0.55762,0.558224
55,0.789687,0.788848,15,0.557181,0.55779
56,0.790284,0.789439,16,0.556257,0.556877
57,0.790635,0.789779,16,0.555787,0.556417
58,0.790976,0.79011,16,0.555406,0.556045
59,0.79142,0.79056,16,0.554795,0.555432
60,0.791582,0.790717,16,0.554541,0.555184
61,0.791786,0.790927,15,0.55427,0.554912
62,0.792024,0.791152,16,0.553975,0.554628
63,0.792211,0.791339,14,0.553706,0.554361
64,0.792577,0.791704,16,0.553281,0.553938
65,0.793132,0.792253,16,0.552404,0.55307
66,0.793404,0.792523,16,0.552026,0.552696
67,0.793536,0.792652,13,0.551765,0.55244
68,0.793968,0.793086,16,0.55115,0.551827
69,0.794174,0.793288,16,0.550857,0.551539
70,0.794523,0.79364,16,0.550232,0.550917
71,0.794647,0.793765,12,0.550059,0.550744
72,0.79486,0.793973,16,0.549762,0.550452
73,0.79503,0.794142,16,0.549376,0.550072
74,0.795229,0.794335,16,0.549038,0.549743
75,0.795456,0.79456,16,0.548735,0.549442
76,0.795636,0.794739,16,0.54851,0.549221
77,0.795815,0.794921,16,0.548256,0.548965
78,0.795944,0.795049,14,0.548054,0.548767
79,0.796058,0.79516,14,0.547826,0.548543
80,0.796239,0.795337,16,0.547603,0.548325
81,0.796361,0.795459,15,0.547357,0.548082
82,0.796556,0.795648,16,0.547151,0.547882
83,0.796813,0.7959,16,0.546838,0.547576
84,0.796959,0.796046,16,0.546608,0.547345
85,0.797209,0.7963,16,0.546126,0.546865
86,0.797343,0.796429,16,0.545872,0.546619
87,0.79753,0.796617,16,0.545594,0.546341
88,0.797719,0.796805,16,0.54537,0.54612
89,0.797925,0.797011,16,0.54514,0.545892
90,0.79799,0.797073,12,0.545024,0.54578
91,0.798106,0.797185,13,0.544872,0.545632
92,0.798205,0.797278,16,0.544706,0.545472
93,0.798341,0.797417,16,0.544519,0.545284
94,0.79851,0.797587,16,0.544293,0.545058
95,0.798625,0.797699,16,0.544104,0.544874
96,0.798846,0.797921,16,0.543814,0.544586
97,0.798915,0.797989,12,0.54373,0.544504
98,0.798942,0.798017,13,0.543636,0.54441
99,0.799051,0.798129,16,0.543483,0.544255
100,0.799134,0.798206,16,0.54335,0.544128
101,0.799249,0.798319,14,0.543179,0.543961
102,0.799605,0.798672,16,0.54265,0.543439
103,0.799688,0.798754,16,0.54249,0.543283
104,0.799916,0.798972,16,0.542202,0.543005
105,0.800042,0.799094,16,0.542065,0.54287
106,0.800195,0.799248,16,0.541894,0.542701
107,0.800298,0.799352,16,0.541754,0.542562
108,0.800359,0.799407,16,0.541651,0.542465
109,0.800466,0.799515,16,0.541468,0.542283
110,0.800668,0.799714,16,0.541218,0.542037
111,0.800731,0.799777,10,0.541122,0.541941
112,0.800836,0.79988,16,0.540969,0.54179
113,0.800954,0.799998,16,0.540829,0.541652
114,0.80116,0.8002,16,0.540571,0.541398
115,0.801176,0.800214,11,0.540511,0.541341
116,0.801245,0.800282,16,0.540412,0.541243
117,0.801371,0.800412,16,0.540248,0.541077
118,0.801562,0.800605,16,0.539918,0.540749
119,0.801634,0.800675,16,0.539833,0.540666
120,0.801693,0.800731,10,0.539757,0.540592
121,0.801775,0.800813,16,0.539635,0.540473
122,0.801873,0.800908,16,0.539522,0.540364
123,0.80205,0.801082,16,0.539305,0.540151
124,0.802098,0.801129,12,0.539235,0.540083
125,0.802198,0.801229,16,0.539105,0.539955
126,0.802299,0.801326,16,0.539,0.539853
127,0.802421,0.801443,16,0.538832,0.539689
128,0.802621,0.801641,16,0.538565,0.539425
129,0.802715,0.801739,16,0.538435,0.539294
130,0.802803,0.80182,16,0.538319,0.539184
131,0.802829,0.801844,10,0.538267,0.539134
132,0.802888,0.8019,10,0.538179,0.539049
133,0.802946,0.801953,15,0.538103,0.538977
134,0.803116,0.802127,16,0.537896,0.538768
135,0.803216,0.802221,16,0.53779,0.538668
136,0.803246,0.802253,10,0.537742,0.538617
137,0.803292,0.802299,15,0.537671,0.538546
138,0.803358,0.802365,16,0.537586,0.538462
139,0.803464,0.802471,16,0.537461,0.538339
140,0.803538,0.802546,16,0.537361,0.538241
141,0.803606,0.802612,15,0.537268,0.538149
142,0.803635,0.802637,10,0.537215,0.538099
143,0.803727,0.802728,16,0.537114,0.537999
144,0.803847,0.802849,16,0.536937,0.537824
145,0.803981,0.802979,16,0.536769,0.537659
146,0.804099,0.803093,16,0.536629,0.537525
147,0.804152,0.803146,13,0.536563,0.537459
148,0.804192,0.803183,12,0.536505,0.537404
149,0.804212,0.803202,9,0.536462,0.537363
150,0.804365,0.803355,16,0.536199,0.537102
151,0.804406,0.803392,16,0.536152,0.537059
152,0.804555,0.803542,16,0.53596,0.536868
153,0.804656,0.803643,16,0.535832,0.536741
154,0.80471,0.803692,16,0.535769,0.536682
155,0.804727,0.803708,11,0.535733,0.536648
156,0.804788,0.803768,16,0.535631,0.536548
157,0.804855,0.80383,16,0.535551,0.536472
158,0.804899,0.803877,16,0.535486,0.536406
159,0.804939,0.803916,12,0.535436,0.536358
160,0.805013,0.803991,16,0.535333,0.536255
161,0.805085,0.804065,16,0.535242,0.536164
162,0.805122,0.804098,10,0.535196,0.536122
163,0.805197,0.804176,15,0.535108,0.536032
164,0.805264,0.804242,16,0.535027,0.535954
165,0.805401,0.804376,16,0.534864,0.535796
166,0.805501,0.804473,16,0.534745,0.535681
167,0.80555,0.80452,16,0.534665,0.535603
168,0.805621,0.804585,16,0.534585,0.535529
169,0.805653,0.804617,12,0.534526,0.535471
170,0.805813,0.804772,16,0.534332,0.535284
171,0.805852,0.804809,14,0.534284,0.535238
172,0.805889,0.804843,16,0.534223,0.53518
173,0.80595,0.8049,16,0.534145,0.535107
174,0.806013,0.804964,16,0.534069,0.53503
175,0.806083,0.805036,13,0.53398,0.534942
176,0.806131,0.805084,14,0.533919,0.534881
177,0.806138,0.805091,10,0.533895,0.534858
178,0.806174,0.805124,16,0.533837,0.534803
179,0.806213,0.805163,16,0.53379,0.534757
180,0.806245,0.805195,15,0.533745,0.534712
181,0.806327,0.805279,16,0.533637,0.534605
182,0.806356,0.805307,13,0.533598,0.534568
183,0.806391,0.805342,10,0.533555,0.534525
184,0.806458,0.805412,15,0.533465,0.534435
185,0.806493,0.805448,16,0.533425,0.534394
186,0.806632,0.805587,16,0.533275,0.534244
187,0.806687,0.80564,16,0.533203,0.534175
188,0.806775,0.805726,16,0.533086,0.534062
189,0.80682,0.805769,15,0.533017,0.533995
190,0.806843,0.80579,10,0.532988,0.533968
191,0.806889,0.805838,10,0.532917,0.533896
192,0.806948,0.805897,16,0.53284,0.53382
193,0.807007,0.805952,16,0.532759,0.533744
194,0.807041,0.805986,15,0.532718,0.533704
195,0.807101,0.806048,16,0.532635,0.533619
196,0.807183,0.80613,16,0.532534,0.53352
197,0.807234,0.806179,16,0.53247,0.533459
198,0.807366,0.806309,16,0.532326,0.533316
199,0.807405,0.806347,16,0.532273,0.533265
200,0.807432,0.806373,15,0.532231,0.533225
201,0.807491,0.80643,16,0.53215,0.533147
202,0.80763,0.806565,16,0.531956,0.532959
203,0.807655,0.80659,13,0.531918,0.532921
204,0.807707,0.80664,16,0.531857,0.532862
205,0.807755,0.806689,15,0.531804,0.532808
206,0.807791,0.806722,15,0.531764,0.532771
207,0.807842,0.806771,16,0.531694,0.532704
208,0.807887,0.806814,16,0.531637,0.532649
209,0.808058,0.806983,16,0.531415,0.532431
210,0.808064,0.806988,9,0.531397,0.532414
211,0.808099,0.807024,10,0.531352,0.532369
212,0.808228,0.807149,16,0.531184,0.532206
213,0.808325,0.807243,16,0.531063,0.532087
214,0.808349,0.807264,16,0.531022,0.53205
215,0.808377,0.807288,16,0.530977,0.532009
216,0.80843,0.80734,16,0.530911,0.531944
217,0.808461,0.807371,15,0.530864,0.531898
218,0.808485,0.807397,15,0.530831,0.531865
219,0.808505,0.807414,14,0.530803,0.531838
220,0.808544,0.807452,15,0.530759,0.531797
221,0.808582,0.807488,16,0.530699,0.53174
222,0.808637,0.807541,16,0.530638,0.531681
223,0.808657,0.807558,10,0.530613,0.531658
224,0.808696,0.807596,15,0.530551,0.531599
225,0.808733,0.807632,16,0.530504,0.531553
226,0.808834,0.807731,16,0.530397,0.531448
227,0.808878,0.807773,16,0.530338,0.531391
228,0.808963,0.807857,16,0.530239,0.531295
229,0.808986,0.80788,15,0.530214,0.53127
230,0.809018,0.807909,13,0.530174,0.531233
231,0.809072,0.807966,16,0.530119,0.531177
232,0.809085,0.807978,10,0.530101,0.53116
233,0.809108,0.808002,14,0.530078,0.531136
234,0.809148,0.808039,16,0.530018,0.531081
235,0.809184,0.808073,16,0.529971,0.531036
236,0.809213,0.808105,16,0.529938,0.531
237,0.809245,0.808141,13,0.52989,0.53095
238,0.809272,0.808164,15,0.529862,0.530924
239,0.809326,0.808217,16,0.529801,0.530865
240,0.809392,0.808284,15,0.52973,0.530793
241,0.809439,0.808332,16,0.529671,0.530736
242,0.809449,0.808343,9,0.529661,0.530725
243,0.809467,0.808361,13,0.529638,0.530702
244,0.809509,0.8084,10,0.529589,0.530656
245,0.809519,0.808409,13,0.529569,0.530638
246,0.809538,0.808427,15,0.529547,0.530618
247,0.809633,0.808517,16,0.529441,0.530516
248,0.809666,0.808549,16,0.529396,0.530473
249,0.809729,0.80861,16,0.529317,0.530397
250,0.809841,0.808723,16,0.529168,0.530249
251,0.809899,0.808781,15,0.529107,0.530189
252,0.809917,0.808798,10,0.529084,0.530167
253,0.809933,0.808813,15,0.529058,0.530142
254,0.809958,0.808839,12,0.529019,0.530103
255,0.810045,0.808922,16,0.528924,0.530011
256,0.81012,0.808997,16,0.52884,0.529927
257,0.810132,0.809009,13,0.528825,0.529913
258,0.810156,0.809031,16,0.528792,0.529883
259,0.810206,0.80908,16,0.528731,0.529823
260,0.81024,0.809113,16,0.528687,0.529781
261,0.810265,0.809139,15,0.528655,0.529747
262,0.810354,0.809226,16,0.528533,0.529629
263,0.810417,0.809286,16,0.528469,0.529567
264,0.810524,0.809393,16,0.528332,0.529432
265,0.810534,0.809402,12,0.528311,0.529413
266,0.810559,0.809424,15,0.528284,0.529389
267,0.810574,0.809438,14,0.52826,0.529368
268,0.810608,0.809471,16,0.528214,0.529323
269,0.810657,0.809518,16,0.528157,0.529268
270,0.810672,0.809534,13,0.528136,0.529246
271,0.810716,0.809576,16,0.528086,0.529199
272,0.810812,0.80967,16,0.527982,0.529097
273,0.810831,0.809688,14,0.527962,0.529077
274,0.810909,0.809767,16,0.527852,0.52897
275,0.810968,0.809824,16,0.527781,0.5289
276,0.811013,0.809868,16,0.527727,0.528847
277,0.811053,0.809907,15,0.527686,0.528807
278,0.811066,0.809919,14,0.527666,0.528788
279,0.811074,0.809927,12,0.527651,0.528773
280,0.811093,0.809946,10,0.52763,0.528752
281,0.811108,0.80996,11,0.527611,0.528734
282,0.811147,0.809998,14,0.527571,0.528697
283,0.811222,0.810063,15,0.52747,0.528604
284,0.811263,0.810102,16,0.527419,0.528557
285,0.811291,0.810128,13,0.527379,0.52852
286,0.8113,0.810136,15,0.527361,0.528504
287,0.811341,0.810178,16,0.527312,0.528455
288,0.811402,0.810236,16,0.527239,0.528385
289,0.811445,0.810278,16,0.527197,0.528343
290,0.811468,0.810303,15,0.527169,0.528315
291,0.811488,0.81032,16,0.527149,0.528297
292,0.811499,0.810331,13,0.527136,0.528285
293,0.811527,0.810355,16,0.527102,0.528255
294,0.811559,0.810385,16,0.527059,0.528215
295,0.811645,0.810468,16,0.526961,0.528118
296,0.81169,0.810514,15,0.526912,0.52807
297,0.811714,0.810536,13,0.526886,0.528045
298,0.811741,0.810564,16,0.526853,0.528012
299,0.811754,0.810577,11,0.526837,0.527997
300,0.811828,0.810647,16,0.526737,0.5279
301,0.811844,0.810661,15,0.526713,0.52788
302,0.811852,0.810669,13,0.526703,0.527871
303,0.811883,0.810698,16,0.526666,0.527835
304,0.811885,0.810699,8,0.526661,0.52783
305,0.811904,0.810717,10,0.526643,0.527813
306,0.811958,0.81077,15,0.526578,0.52775
307,0.811993,0.8108,13,0.526518,0.527695
308,0.812007,0.810814,15,0.526501,0.527679
309,0.812017,0.810823,13,0.526486,0.527665
310,0.812034,0.810839,16,0.526462,0.527643
311,0.81206,0.810865,15,0.52643,0.52761
312,0.812127,0.810932,16,0.526351,0.527532
313,0.812165,0.81097,16,0.5263,0.527481
314,0.812185,0.810988,16,0.526275,0.527458
315,0.812199,0.811002,14,0.526254,0.527437
316,0.812229,0.811031,16,0.526217,0.527401
317,0.812288,0.81109,16,0.526148,0.527333
318,0.812338,0.811138,16,0.526093,0.527279
319,0.812362,0.811159,16,0.52606,0.52725
320,0.812377,0.811174,13,0.526035,0.527226
321,0.812382,0.811178,11,0.526028,0.527219
322,0.812395,0.811191,14,0.526012,0.527205
323,0.812425,0.81122,16,0.525971,0.527164
324,0.812435,0.81123,15,0.525956,0.52715
325,0.812467,0.811259,16,0.525921,0.527118
326,0.812496,0.811288,15,0.52589,0.527087
327,0.812507,0.811298,10,0.525877,0.527075
328,0.812537,0.811326,16,0.525833,0.527035
329,0.812557,0.811345,16,0.525806,0.52701
330,0.812639,0.811423,16,0.525708,0.526913
331,0.812751,0.811533,16,0.525556,0.526765
332,0.812788,0.81157,15,0.525513,0.526723
333,0.812791,0.811572,9,0.525506,0.526716
334,0.812819,0.811597,16,0.525467,0.526682
335,0.812846,0.811622,16,0.525432,0.526648
336,0.81289,0.811668,16,0.525381,0.526595
337,0.812938,0.811714,16,0.525322,0.526539
338,0.812948,0.811723,15,0.525309,0.526527
339,0.812992,0.811766,16,0.525255,0.526474
340,0.8131,0.811873,16,0.525122,0.526343
341,0.813114,0.811886,15,0.525107,0.526328
342,0.813126,0.811896,13,0.52509,0.526313
343,0.813134,0.811904,11,0.525079,0.526303
344,0.81315,0.81192,15,0.525059,0.526283
345,0.813175,0.811945,16,0.525035,0.526259
346,0.813185,0.811954,16,0.52502,0.526245
347,0.81321,0.811976,14,0.524988,0.526217
348,0.813278,0.812041,16,0.524897,0.526129
349,0.813341,0.812101,16,0.524831,0.526066
350,0.813354,0.812114,10,0.524816,0.526052
351,0.813373,0.812131,16,0.524793,0.526031
352,0.813435,0.812193,16,0.524705,0.525945
353,0.813464,0.812217,16,0.524676,0.525919
354,0.813487,0.812238,16,0.524648,0.525894
355,0.813546,0.812294,16,0.524582,0.52583
356,0.813567,0.812317,10,0.524555,0.525802
357,0.813585,0.812333,15,0.524535,0.525784
358,0.813625,0.812373,16,0.52449,0.525739
359,0.813638,0.812385,15,0.524475,0.525725
360,0.813645,0.812391,13,0.524463,0.525714
361,0.813677,0.812423,16,0.524427,0.525678
362,0.813728,0.812475,16,0.524364,0.525615
363,0.813773,0.812519,15,0.524311,0.525563
364,0.813795,0.812539,15,0.524271,0.525526
365,0.813807,0.812551,15,0.524257,0.525512
366,0.813878,0.812619,16,0.52416,0.525418
367,0.813936,0.812677,16,0.524086,0.525347
368,0.813973,0.812711,16,0.524048,0.525312
369,0.813987,0.812726,16,0.524025,0.525289
370,0.814014,0.812748,16,0.52399,0.525259
371,0.814065,0.812796,16,0.523931,0.525202
372,0.814075,0.812806,12,0.52392,0.525191
373,0.814082,0.812813,13,0.523913,0.525185
374,0.814111,0.812841,16,0.523882,0.525155
375,0.814135,0.812863,16,0.523852,0.525128
376,0.814175,0.812901,16,0.523808,0.525086
377,0.81423,0.812952,16,0.523749,0.525031
378,0.814263,0.812987,16,0.523708,0.524989
379,0.814273,0.812995,12,0.523698,0.52498
380,0.814281,0.813003,10,0.523689,0.52497
381,0.814293,0.813014,15,0.523675,0.524959
382,0.814301,0.813022,13,0.523664,0.524948
383,0.814312,0.813031,16,0.523644,0.524929
384,0.814354,0.813071,16,0.523596,0.524883
385,0.814424,0.81314,16,0.523503,0.524792
386,0.814429,0.813145,13,0.523496,0.524786
387,0.814496,0.81321,16,0.523417,0.524708
388,0.814572,0.813282,16,0.523341,0.524638
389,0.81461,0.813319,16,0.523289,0.524587
390,0.814633,0.81334,16,0.523259,0.524558
391,0.814664,0.813371,15,0.523213,0.524514
392,0.814669,0.813374,8,0.523207,0.524509
393,0.814706,0.813411,16,0.523161,0.524464
394,0.814777,0.813478,16,0.523074,0.524381
395,0.814819,0.813517,16,0.523014,0.524325
396,0.814869,0.813565,16,0.522961,0.524275
397,0.814903,0.813598,16,0.522923,0.524237
398,0.814912,0.813607,9,0.522912,0.524226
399,0.814915,0.813611,10,0.522907,0.524222
400,0.814952,0.813644,16,0.522854,0.524173
401,0.814986,0.813679,16,0.522816,0.524134
402,0.815004,0.813697,15,0.522793,0.524111
403,0.815027,0.813722,16,0.522766,0.524083
404,0.815058,0.813754,12,0.522729,0.524046
405,0.815105,0.8138,16,0.522677,0.523996
406,0.815138,0.813832,15,0.522637,0.523957
407,0.815212,0.813907,16,0.522534,0.523854
408,0.815216,0.813912,10,0.522526,0.523845
409,0.81522,0.813916,8,0.522521,0.52384
410,0.815244,0.813939,16,0.522493,0.523814
411,0.815255,0.81395,16,0.522481,0.523802
412,0.815305,0.813997,16,0.522418,0.523742
413,0.815366,0.814054,16,0.522339,0.523666
414,0.815375,0.814062,14,0.52233,0.523659
415,0.815387,0.814072,14,0.522311,0.523641
416,0.815408,0.814091,15,0.522276,0.523609
417,0.815422,0.814103,16,0.522257,0.523593
418,0.815444,0.814123,15,0.52223,0.523568
419,0.815461,0.814138,14,0.52221,0.523551
420,0.815481,0.814155,16,0.522183,0.523528
421,0.815536,0.81421,16,0.522116,0.523461
422,0.815548,0.814222,15,0.522103,0.523448
423,0.815612,0.814287,16,0.52203,0.523374
424,0.815618,0.814292,14,0.522022,0.523367
425,0.815621,0.814295,8,0.522019,0.523364
426,0.815627,0.814301,11,0.522009,0.523354
427,0.815641,0.814316,13,0.521988,0.523333
428,0.815679,0.814353,16,0.521941,0.523287
429,0.815698,0.814371,15,0.521922,0.523269
430,0.815702,0.814374,9,0.521918,0.523265
431,0.815735,0.814407,16,0.521878,0.523227
432,0.815741,0.814412,9,0.521869,0.523218
433,0.815746,0.814417,12,0.521862,0.523212
434,0.815772,0.814441,16,0.521832,0.523184
435,0.815801,0.814471,16,0.521791,0.523143
436,0.815806,0.814476,11,0.521783,0.523135
437,0.81582,0.814488,16,0.521767,0.52312
438,0.815829,0.814497,10,0.521752,0.523107
439,0.815858,0.814524,16,0.52172,0.523077
440,0.815903,0.814565,16,0.521668,0.523028
441,0.815927,0.814587,14,0.52164,0.523003
442,0.815937,0.814596,13,0.521627,0.522991
443,0.815939,0.814598,8,0.521624,0.522989
444,0.815945,0.814603,10,0.521615,0.522981
445,0.815992,0.814648,16,0.521545,0.522913
446,0.816003,0.814658,15,0.521529,0.522899
447,0.816027,0.814681,16,0.52149,0.522861
448,0.816053,0.814706,16,0.521454,0.522825
449,0.816079,0.814729,16,0.52142,0.522795
450,0.81611,0.81476,16,0.52138,0.522756
451,0.816165,0.814811,16,0.521321,0.522701
452,0.8162,0.814845,15,0.521277,0.522658
453,0.816221,0.814866,14,0.521249,0.522631
454,0.816236,0.814882,15,0.521228,0.522611
455,0.816249,0.814894,16,0.521213,0.522597
456,0.816259,0.814903,12,0.521198,0.522582
457,0.816267,0.81491,13,0.521188,0.522573
458,0.816289,0.814933,16,0.521158,0.522543
459,0.816295,0.814939,12,0.52115,0.522535
460,0.816316,0.81496,16,0.521125,0.52251
461,0.816332,0.814975,12,0.521105,0.522492
462,0.816337,0.814979,11,0.5211,0.522488
463,0.816344,0.814985,14,0.521089,0.522478
464,0.816364,0.815005,16,0.521066,0.522456
465,0.816378,0.815017,16,0.52105,0.522442
466,0.816403,0.815041,16,0.521021,0.522413
467,0.816433,0.81507,16,0.520985,0.522378
468,0.81647,0.815104,16,0.520946,0.522343
469,0.816527,0.815159,16,0.520883,0.52228
470,0.81653,0.815163,13,0.520877,0.522273
471,0.816603,0.815238,16,0.520791,0.522186
472,0.816638,0.815275,16,0.520745,0.522139
473,0.816658,0.815293,16,0.520716,0.522112
474,0.81668,0.815315,15,0.52069,0.522086
475,0.816683,0.815317,11,0.520684,0.522081
476,0.816711,0.815343,16,0.520653,0.522052
477,0.816734,0.815364,16,0.520623,0.522024
478,0.816746,0.815376,16,0.520607,0.522009
479,0.816777,0.815406,15,0.520569,0.521972
480,0.816787,0.815415,15,0.520558,0.521962
481,0.816811,0.815437,16,0.520525,0.521931
482,0.816833,0.81546,16,0.520497,0.521904
483,0.816872,0.815497,16,0.520436,0.521846
484,0.8169,0.815523,15,0.520404,0.521816
485,0.81692,0.815542,15,0.520382,0.521795
486,0.816926,0.815548,10,0.520372,0.521786
487,0.81694,0.81556,14,0.520359,0.521774
488,0.816955,0.815575,16,0.520338,0.521754
489,0.816974,0.815592,16,0.520317,0.521735
490,0.816977,0.815593,8,0.520314,0.521733
491,0.816989,0.815604,13,0.520295,0.521716
492,0.817009,0.815624,16,0.520266,0.521688
493,0.817042,0.815657,16,0.520226,0.521648
494,0.817045,0.815659,10,0.520222,0.521645
495,0.817075,0.815687,13,0.520194,0.521619
496,0.817084,0.815694,10,0.520184,0.52161
497,0.817096,0.815705,13,0.520166,0.521594
498,0.817117,0.815723,16,0.520136,0.521568
499,0.81712,0.815726,9,0.520131,0.521564
